subject2,WhiteDirectMean,BlackDirectMean,WhiteIndirectMean,BlackIndirectMean,Indirect,Direct,IndirectR,DirectR,Condition,age,ethnicity,gender,Site,USvIT,ConditionF,USvITF
781,2.5,2.6666666666666665,2.75,2.75,0,-0.16666666666666652,1,0.9375,-1,20,"White, non-Hispanic or Latino",1,UCF,-1,-1,-1
782,2.4166666666666665,2.3333333333333335,1.7916666666666667,1.625,0.16666666666666674,0.08333333333333304,1.1025641025641026,1.0357142857142856,1,19,Latino or Hispanic,2,UCF,-1,1,-1
783,3,3,3,3,0,0,1,1,-1,19,Latino or Hispanic,2,UCF,-1,-1,-1
784,2.4166666666666665,2.4166666666666665,2.6666666666666665,2.8333333333333335,-0.16666666666666696,0,0.9411764705882352,1,1,19,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
785,2.6666666666666665,2.1666666666666665,2.9166666666666665,2.875,0.04166666666666652,0.5,1.0144927536231882,1.2307692307692308,-1,18,Asian-American,1,UCF,-1,-1,-1
786,4,4,4,4,0,0,1,1,1,19,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
787,2.4166666666666665,2.0833333333333335,2.875,2.8333333333333335,0.04166666666666652,0.33333333333333304,1.0147058823529411,1.16,-1,18,Multiracial,2,UCF,-1,-1,-1
788,3,2.9166666666666665,2.0833333333333335,2.0416666666666665,0.04166666666666696,0.08333333333333348,1.0204081632653064,1.0285714285714287,1,19,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
789,2.5833333333333335,2.6666666666666665,2.9583333333333335,3,-0.04166666666666652,-0.08333333333333304,0.9861111111111112,0.9687500000000001,-1,19,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
790,2.25,2.3333333333333335,2.5,2.625,-0.125,-0.08333333333333348,0.9523809523809523,0.9642857142857142,1,18,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
791,2.4166666666666665,2.25,2.9166666666666665,2.9166666666666665,0,0.16666666666666652,1,1.074074074074074,-1,21,Other,1,UCF,-1,-1,-1
792,2.4166666666666665,2.6666666666666665,2.2916666666666665,2.4166666666666665,-0.125,-0.25,0.9482758620689655,0.90625,1,21,Asian-American,2,UCF,-1,1,-1
793,2.3333333333333335,2.4166666666666665,2.3333333333333335,2,0.3333333333333335,-0.08333333333333304,1.1666666666666667,0.9655172413793105,-1,23,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
794,2.3333333333333335,2.4166666666666665,2.7916666666666665,2.7083333333333335,0.08333333333333304,-0.08333333333333304,1.0307692307692307,0.9655172413793105,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
795,2.4166666666666665,2.5,2.625,2.7916666666666665,-0.16666666666666652,-0.08333333333333348,0.9402985074626866,0.9666666666666666,-1,18,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
796,2.25,1.0833333333333333,2.5,1.0833333333333333,1.4166666666666667,1.1666666666666667,2.307692307692308,2.076923076923077,1,18,Latino or Hispanic,2,UCF,-1,1,-1
797,3.0833333333333335,3.1666666666666665,2.5416666666666665,2.7916666666666665,-0.25,-0.08333333333333304,0.9104477611940298,0.9736842105263159,-1,19,African-American,2,UCF,-1,-1,-1
798,2.5,2.0833333333333335,2.2083333333333335,2.375,-0.16666666666666652,0.4166666666666665,0.9298245614035089,1.2,1,18,Latino or Hispanic,1,UCF,-1,1,-1
799,2.3333333333333335,2.25,2.8333333333333335,2.75,0.08333333333333348,0.08333333333333348,1.0303030303030303,1.0370370370370372,-1,21,"White, non-Hispanic or Latino",2,UCF,-1,-1,-1
801,2.6944444444444446,2.638888888888889,2.4305555555555554,2.4583333333333335,-0.027777777777778123,0.0555555555555558,0.9887005649717513,1.0210526315789474,-1,20,"White, non-Hispanic or Latino",1,UVA,-1,-1,-1
802,2.625,2.0416666666666665,2.5833333333333335,1.9583333333333333,0.6250000000000002,0.5833333333333335,1.319148936170213,1.2857142857142858,1,19,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
803,2.375,2.375,2.3541666666666665,2.3541666666666665,0,0,1,1,-1,18,Latino or Hispanic,2,UVA,-1,-1,-1
804,2.6666666666666665,2.5833333333333335,2.8958333333333335,2.5625,0.3333333333333335,0.08333333333333304,1.1300813008130082,1.032258064516129,1,19,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
805,2.4583333333333335,2.625,2.4166666666666665,2.6666666666666665,-0.25,-0.16666666666666652,0.90625,0.9365079365079365,-1,18,"White, non-Hispanic or Latino",2,UVA,-1,-1,-1
806,2,2.2083333333333335,2.6041666666666665,3.0625,-0.4583333333333335,-0.20833333333333348,0.8503401360544217,0.9056603773584905,1,19,Asian-American,2,UVA,-1,1,-1
807,2.5,2.8333333333333335,3.5416666666666665,3.4583333333333335,0.08333333333333304,-0.3333333333333335,1.0240963855421685,0.8823529411764706,-1,18,Multiracial,1,UVA,-1,-1,-1
808,2.625,2.75,2.4166666666666665,2.4166666666666665,0,-0.125,1,0.9545454545454546,1,18,African-American,1,UVA,-1,1,-1
809,2.375,2.5833333333333335,2.625,2.7291666666666665,-0.10416666666666652,-0.20833333333333348,0.9618320610687023,0.9193548387096774,-1,19,"White, non-Hispanic or Latino",1,UVA,-1,-1,-1
810,2.25,2.625,2.375,2.4166666666666665,-0.04166666666666652,-0.375,0.9827586206896552,0.8571428571428571,1,21,"White, non-Hispanic or Latino",1,UVA,-1,1,-1
811,2.3333333333333335,3.4583333333333335,2.6041666666666665,3.0208333333333335,-0.41666666666666696,-1.125,0.8620689655172413,0.674698795180723,-1,20,"White, non-Hispanic or Latino",1,UVA,-1,-1,-1
812,2.9166666666666665,2.8333333333333335,2.9791666666666665,2.8958333333333335,0.08333333333333304,0.08333333333333304,1.028776978417266,1.0294117647058822,1,28,Latino or Hispanic,2,UVA,-1,1,-1
813,2.625,2.625,3.0416666666666665,3.1875,-0.14583333333333348,0,0.9542483660130718,1,-1,19,"White, non-Hispanic or Latino",1,UVA,-1,-1,-1
814,2.8333333333333335,2.5,2.8333333333333335,2.8333333333333335,0,0.3333333333333335,1,1.1333333333333333,1,18,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
815,2.2916666666666665,2.625,2.375,2.4583333333333335,-0.08333333333333348,-0.3333333333333335,0.9661016949152542,0.8730158730158729,-1,19,"White, non-Hispanic or Latino",2,UVA,-1,-1,-1
816,2.5833333333333335,2.6666666666666665,2.6458333333333335,2.6875,-0.04166666666666652,-0.08333333333333304,0.9844961240310078,0.9687500000000001,1,20,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
817,2.5416666666666665,2.4583333333333335,2.8333333333333335,2.8125,0.02083333333333348,0.08333333333333304,1.0074074074074075,1.0338983050847457,-1,19,Latino or Hispanic,1,UVA,-1,-1,-1
818,2.4166666666666665,2.3333333333333335,2.7291666666666665,2.4583333333333335,0.27083333333333304,0.08333333333333304,1.1101694915254237,1.0357142857142856,1,21,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
819,2.5416666666666665,2.4166666666666665,2.75,2.75,0,0.125,1,1.0517241379310345,-1,19,"White, non-Hispanic or Latino",2,UVA,-1,-1,-1
820,2.625,2.25,2.7083333333333335,2.6041666666666665,0.10416666666666696,0.375,1.04,1.1666666666666667,1,23,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
821,2.4166666666666665,2.5416666666666665,3.2291666666666665,3.2291666666666665,0,-0.125,1,0.9508196721311475,-1,18,African-American,1,UVA,-1,-1,-1
822,1.875,2.1666666666666665,2.0833333333333335,2.2708333333333335,-0.1875,-0.2916666666666665,0.9174311926605505,0.8653846153846154,1,19,"White, non-Hispanic or Latino",1,UVA,-1,1,-1
823,2.2916666666666665,2.375,2.4166666666666665,2.7083333333333335,-0.29166666666666696,-0.08333333333333348,0.8923076923076922,0.9649122807017543,-1,20,Other,2,UVA,-1,-1,-1
824,2.4583333333333335,2.5,2.875,3,-0.125,-0.04166666666666652,0.9583333333333334,0.9833333333333334,1,18,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
825,2.4166666666666665,2.7083333333333335,2.0208333333333335,2.0625,-0.04166666666666652,-0.29166666666666696,0.9797979797979799,0.8923076923076922,-1,18,Latino or Hispanic,2,UVA,-1,-1,-1
826,2.6666666666666665,2.75,2.7083333333333335,2.875,-0.16666666666666652,-0.08333333333333348,0.9420289855072465,0.9696969696969696,1,19,"White, non-Hispanic or Latino",2,UVA,-1,1,-1
827,3,3,2.7083333333333335,2.75,-0.04166666666666652,0,0.9848484848484849,1,-1,18,"White, non-Hispanic or Latino",2,UVA,-1,-1,-1
828,2.8333333333333335,3.25,2.6666666666666665,3.3333333333333335,-0.666666666666667,-0.4166666666666665,0.7999999999999999,0.8717948717948718,1,19,African-American,2,UVA,-1,1,-1
829,2.4166666666666665,2.8333333333333335,2.9583333333333335,2.4583333333333335,0.5,-0.41666666666666696,1.2033898305084745,0.8529411764705881,-1,19,"White, non-Hispanic or Latino",2,UVA,-1,-1,-1
